Chaves,426,1995,1532578,portugal,Registado,cama de casal,BAR,2022-06-30,2022-07-27,2022-07-28,1,2,2,0,2,90.0,27,2,10,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4,58,0,No,null
Carnaxide,493,2324,1534987,portugal,Registado,estudio,BAR,2022-07-04,2022-07-09,2022-07-18,9,1,1,0,1,720.0,5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,No,null
Batalha,378,1749,1537146,portugal,Registado,familiar,NRF,2022-07-06,2022-07-28,2022-07-31,3,2,2,2,2,590.1,22,4,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,23,0,No,null
ELVAS,421,1931,1538000,espanha,Registado,duplo,BAR,2022-07-08,2022-07-23,2022-07-24,1,2,2,0,2,98.0,15,3,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,23,0,No,null
Chaves,426,1990,1540712,portugal,Registado,twin,BAR,2022-07-11,2022-08-23,2022-08-25,2,2,2,0,2,200.0,43,2,26,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4,58,0,No,null
Gaia,310,2870,1540727,portugal,NãoRegistado,duplo,MR - Main Rate,2022-07-11,2022-07-12,2022-07-14,2,3,3,0,3,176.4,1,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,192,0,No,null
Aveiro,319,2264,1547149,frança,Registado,standard,NRF,2022-07-20,2022-07-25,2022-07-26,1,2,2,0,2,68.0,5,2,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,96,0,No,null
Maia,311,2034,1547272,frança,Registado,duplo,BB,2022-07-20,2022-08-13,2022-08-14,1,1,1,0,1,95.55,24,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,30,0,No,null
Madalena,415,1940,1551042,portugal,Registado,duplo,BAR,2022-07-24,2022-10-05,2022-10-08,3,2,2,0,2,258.0,73,3,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,125,0,Yes,null
Portimão,482,2286,1555849,portugal,Registado,t2,Website,2022-07-28,2022-07-28,2022-07-29,1,6,6,0,6,167.8699999999,0,6,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,143,0,No,Festival daSardinhadePortimão2022
